"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ_main","ipw_param_YZ_main","ipw_nonparam_YZ","ipw_param_YZ"
30,0.525840400295914,0.524824673761587,0.530468215610917,0.53610454433032,0.500983254507189,0.513024064016066,0.48473172403051,0.536104544330317,0.502751331434675,0.509545097747137,0.505844976028054,0.512594758130863
31,0.510475387370567,0.51084284520648,0.522070536078992,0.519288852988371,0.503768592754304,0.504555812210992,0.493152223316109,0.519288852988357,0.505178643675506,0.502110613418914,0.507207903555126,0.504021466334768
32,0.501207060367423,0.495712211902114,0.539819485485622,0.540919232297071,0.514737548821605,0.520660174330573,0.496595660858398,0.540919232297072,0.517006559650046,0.517033070917794,0.512672312059638,0.512786143496582
33,0.489714213410667,0.487062341015229,0.495181377192677,0.494657784237255,0.470759837004741,0.469845464315821,0.447878348040682,0.494657784237253,0.470193333803444,0.470743971867861,0.473065624915018,0.473663090010313
34,0.527680344801277,0.5266117474622,0.532181662683171,0.530900262749711,0.524357727784791,0.507849297568682,0.504745243236794,0.530900262749722,0.518521616520598,0.516489639142037,0.519100420540598,0.517001465797499
35,0.50111882713059,0.509512529773726,0.541815254613225,0.54770239275117,0.5092332349345,0.523327292647421,0.486551433924872,0.547702392751172,0.512278129998268,0.518284721402262,0.510558934585144,0.516542103657745
36,0.513717637030623,0.51112675483209,0.541529502109965,0.536630756339794,0.51903645075179,0.518652085041979,0.505918160300375,0.536630756339775,0.521372590713091,0.514394315535387,0.512460196599174,0.505328094393291
37,0.490409303687469,0.489264118416969,0.486869918898683,0.488002809858859,0.476769561258163,0.474078623248897,0.466042141074778,0.48800280985885,0.475215589144068,0.476465358025651,0.48241926489695,0.483894626247866
38,0.494887218349249,0.496446942618031,0.518744775860797,0.522673763731313,0.48491741571749,0.492768876865858,0.460170525089459,0.522673763731307,0.486474556869058,0.489821209937419,0.494621509569279,0.497971604229541
39,0.521477148410851,0.52124775846009,0.533324837037368,0.538495199786649,0.511282600357802,0.513167537614957,0.492955507332859,0.538495199786648,0.510115126431274,0.515368121598722,0.518432616232755,0.523562081189418
