"r","gs_nonparam","gs_param","cc_nonparam","cc_param","ipw_nonparam_Yonly","ipw_param_Yonly","ipw_nonparam_Zonly","ipw_param_Zonly","ipw_nonparam_YZ","ipw_param_YZ"
32,0.473508692190256,0.472364400824421,0.526503929751042,0.514911799242453,0.501623049135159,0.498907474596501,0.487192376178504,0.514911799242455,0.499454580742686,0.48538338829622
33,0.501690302403285,0.495393815493816,0.527407356039448,0.526502126603035,0.498343825177129,0.506150432133576,0.481017069939098,0.526502126603027,0.49423243029927,0.496510076978295
34,0.503532315889498,0.513296138674783,0.529417015429974,0.53790871432722,0.501543973759439,0.512965751279161,0.480895924720092,0.537908714327209,0.50621299156857,0.514682635595108
35,0.497834320397855,0.4994659999155,0.524588878600906,0.526046552653518,0.496288479637429,0.502226601847965,0.47278806391029,0.526046552653519,0.495352305609941,0.495303122713364
36,0.519969629476932,0.514090541983787,0.57048535602334,0.560975320547194,0.544339119113006,0.543247880358236,0.528785955179636,0.560975320547196,0.54742276845554,0.536619857128069
37,0.479303932211438,0.48437663049231,0.524147567462596,0.523410955966915,0.491554616559775,0.502383896803178,0.469647891748547,0.523410955966906,0.487516128018856,0.48946171949487
38,0.49398822625258,0.49571827510972,0.518837115984971,0.518571899341302,0.492824610635613,0.502962750752827,0.481043637307031,0.518571899341292,0.49708976467184,0.497023746657367
39,0.493692832406143,0.496545074806581,0.52960414507137,0.52719002063248,0.513507965476294,0.517546710393806,0.50563754298322,0.527190020632474,0.509794658106828,0.5082946646624
40,0.507173041596617,0.508630029555027,0.53948808360429,0.544337051350965,0.506453400482033,0.520980604651069,0.480540333160721,0.544337051350962,0.4980626122507,0.504541116449775
41,0.481774222285686,0.489745808665932,0.513347101632934,0.519826648347993,0.494576085195112,0.497479958948125,0.475367063139661,0.519826648348007,0.489258907500863,0.49668641501177
42,0.495302265164204,0.500327544251525,0.502876146911944,0.508189521733557,0.489139135723995,0.478449195367027,0.465559599924785,0.508189521733554,0.495601378267577,0.500472085283503
43,0.481538149891092,0.476193547321701,0.521042492329552,0.513781082874381,0.50561987650529,0.486827900949185,0.484605251217855,0.513781082874393,0.488676288018531,0.480848614335705
44,0.512207301157042,0.509552164408802,0.536722742760082,0.532492445794051,0.510042508673475,0.500831191196279,0.487710936235834,0.532492445794043,0.51243186761276,0.508121233871103
45,0.459872353553844,0.469995493017116,0.480967952560702,0.4935240971006,0.454562130471641,0.472822302904623,0.43545807762331,0.493524097100608,0.448523024782084,0.464885846087666
