"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s","mle_param_delta","mle_param_delta.s","mle_param_R.s"
47,10.7998015726143,5.98946824662575,0.445409417353223,10.7998015726143,5.92294361865711,0.451569218301543,10.3028580787763,5.94564822105284,0.422912732021345,10.3028580787763,5.84352040583402,0.4328253033135,11.8800703811525,5.91706278204501,0.501933692965967,NA,NA,NA,10.7998015726141,5.74223691736865,0.46830162769567,10.7243473135668,5.74951522425674,0.463882038118688
48,11.5655082663673,5.79818382536332,0.498665887237787,11.5655082663673,5.87244870544582,0.492244649331757,11.4477070813965,5.92196837054777,0.48269392914748,11.4477070813965,5.97729314542854,0.477861103282231,13.0546732277675,6.05397496963554,0.536259938183772,NA,NA,NA,11.5655082663674,5.95118066093568,0.485437170258935,11.6035522008253,5.84179402238586,0.496551235235503
49,11.9768139381345,5.80722905938791,0.515127387852495,11.9768139381345,5.75103281579159,0.519819474068963,12.0395115405023,5.99772115290058,0.501830191970532,12.0395115405023,5.90207549606544,0.509774505700652,13.7472620153303,5.99387352262159,0.563995105648127,NA,NA,NA,11.9768139381346,5.87467464911264,0.509496041313001,11.9768139381347,5.754590144623,0.519522456109959
50,11.9086342852642,5.99965264462931,0.496193056154782,11.9086342852642,5.96265523497451,0.499299827995159,11.6498583623494,6.19895388323299,0.467894485029354,11.6498583623494,6.12776217548586,0.474005435526161,13.4619847613091,6.20316433167688,0.539208783722196,NA,NA,NA,11.9086342852642,6.09297748590024,0.488356318621716,11.8680331726109,6.03069047738927,0.491854261807516
51,12.4247257546632,6.12242113778996,0.507238931572223,12.4247257546632,6.07595701117851,0.510978581648122,11.8218955687411,6.04595964999986,0.488579507842524,11.8218955687411,6.03023238311064,0.48990985852933,13.5115937030522,6.15942283050747,0.544137948055967,NA,NA,NA,12.4247257546634,6.03843030837976,0.513998906083434,12.4247257546629,5.93539914051073,0.522291336025408
52,12.0161660977882,5.87640205452204,0.510958652976367,12.0161660977882,5.88587195303023,0.510170556471116,12.6676717550151,5.95627127987364,0.529805366363748,12.6676717550151,5.95196005070883,0.530145699555844,14.063529919432,6.04418372434377,0.570222855928061,NA,NA,NA,12.016166097788,6.01903844977771,0.49908827817504,12.0125698483476,5.71690852618326,0.524089466420904
53,12.2892785193447,6.03336660426571,0.509054449797968,12.2892785193447,6.12584545071557,0.501529284972036,13.0510277074306,5.93315729940438,0.545387732490496,13.0510277074306,6.0800924386408,0.534129221472796,14.7453205445994,6.17064712590416,0.581518278477561,NA,NA,NA,12.2892785193448,6.18625448825144,0.496613696360326,12.2892785193448,5.92790693736449,0.517635886595518
54,12.7096387264571,5.99835340318529,0.52804689950008,12.7096387264571,5.92021283398009,0.534195034068416,13.4110463462891,5.96680144217374,0.555083079417976,13.4110463462891,5.87444733879916,0.561969499835138,14.8738733016534,5.94474654104805,0.600322900398297,NA,NA,NA,12.6593303207631,5.92634301764434,0.531859674447054,12.618437880548,5.66252875086129,0.551249623410963
55,11.6646215391618,6.00097630204905,0.485540419643974,11.6646215391618,5.95319403371291,0.489636760719055,11.9562318605818,6.0983676191803,0.489942342178404,11.9562318605818,6.07577398455218,0.491832037434533,13.4919877200053,6.09158720283461,0.548503354046025,NA,NA,NA,11.664621539162,6.12846087096661,0.474611255033748,11.6646215391619,5.95864589537256,0.48916937636018
56,12.1977770349651,5.86018545800982,0.519569390290416,12.1977770349651,5.92361909012174,0.514368964677611,12.0902490327561,6.06028998352752,0.498745644766425,12.0902490327561,6.1625742355635,0.490285583128417,13.7087933806764,6.23930232898044,0.544868599611749,NA,NA,NA,12.1977770349652,6.18352592379761,0.493061243366525,12.1985724902169,6.04551023354948,0.5044083856207
57,12.675646731999,6.12936732273186,0.516445397041668,12.675646731999,6.12691617894829,0.516638771299833,12.8591870021071,6.18939815456717,0.518678890543161,12.8591870021071,6.17018525246613,0.520172989827812,14.5106147265433,6.25801052510856,0.568728779376853,NA,NA,NA,12.6756467319991,6.15382542452714,0.51451586221695,12.5950660150257,5.96028920627098,0.526775866108168
58,11.8824850285972,6.07415480717121,0.488814436327694,11.8824850285972,6.13689112368347,0.483534706005184,12.0520220624412,6.07296612566046,0.496103965442763,12.0520220624412,6.11078783767004,0.492965760765272,13.8327563336871,6.15581473333343,0.554982782546232,NA,NA,NA,11.8824850285969,6.05438089334311,0.490478559091607,11.8824850285972,5.93094588422294,0.500866538442999
59,11.2128453521126,5.86951600596481,0.47653643462951,11.2128453521126,5.85669651742552,0.477679720578502,11.4719735734511,6.03910239515983,0.473577727799533,11.4719735734511,5.99665632047711,0.477277707965191,13.0658796664047,6.10417119986446,0.53281590250983,NA,NA,NA,11.2128453521123,6.03690923269464,0.461607732638764,11.2128453521126,5.84691742832075,0.478551853279671
60,12.1326133677094,6.14619866469643,0.493415105351138,12.1326133677094,6.01619493126104,0.504130334584552,11.6488927511656,6.40849878127444,0.44986198103393,11.6488927511656,6.29277802441933,0.459796037371047,13.0708612287206,6.44518290078062,0.506904496344999,NA,NA,NA,12.1326133677094,6.25315498167129,0.484599501182996,12.1326133677094,6.19245548637137,0.489602503706878
61,12.123534105895,6.16528101561929,0.491461733701769,12.123534105895,6.03630602636522,0.50210013238383,11.9745975234558,6.05642496149513,0.494227263201804,11.9745975234558,6.03845131489335,0.495728244472078,13.4656229205438,6.11359448766836,0.545985022472211,NA,NA,NA,12.1235341058947,6.05504174634606,0.500554731528164,12.1229564782467,5.87984903160854,0.514982253532025
62,12.0685884963448,5.96620166252013,0.505642133350799,12.0685884963448,5.94421928468947,0.507463587271223,12.141262442763,5.89060164247496,0.514827912645432,12.141262442763,5.88731820651262,0.515098348769996,13.4091594631189,5.95477734624494,0.555917180146661,NA,NA,NA,12.0685884963449,5.93553539979793,0.508183131639993,12.0685062971426,5.7388380306153,0.52447818401735
63,12.3762373583811,6.28862542450476,0.491879054804475,12.3762373583811,6.23214427817816,0.496442731525523,11.742226106092,6.25849844334615,0.467009203638212,11.742226106092,6.16393124954841,0.475062803777003,13.5390294462131,6.24183746839732,0.53897452596625,NA,NA,NA,12.3559971627003,6.23579712191776,0.495322227756568,12.376237358381,6.13619790503849,0.504195198641441
64,12.1852082433769,6.19654596630196,0.491469834364957,12.1852082433769,6.21017899326645,0.49035101664004,12.3038789949139,6.43992752176313,0.476593721018776,12.3038789949139,6.37579263171095,0.481806295856248,13.9055469123823,6.50859138912543,0.531942797350186,NA,NA,NA,12.1852082433771,6.40433116380196,0.474417585987271,12.144296679105,6.26701640304723,0.483953944090479
65,12.3928300791476,6.13916847351078,0.504619329539534,12.3928300791476,6.12760614590843,0.505552314784107,12.149550247505,6.07835968853666,0.49970496317056,12.149550247505,6.08663065198181,0.499024200238875,13.5321048006011,6.10977808117037,0.548497578817233,NA,NA,NA,12.3928300791476,6.09219665339399,0.508409571140266,12.4270907875536,5.96778484537236,0.519776193206103
66,11.7264356284993,5.97673683295226,0.490319392669779,11.7264356284993,5.94686288633127,0.492866965313966,11.3251100207547,5.99219934427053,0.470892615322139,11.3251100207547,5.96995857825632,0.472856460792377,12.7920797037337,6.05609941802352,0.52657428985094,NA,NA,NA,11.726435628499,5.87380265776544,0.499097352012897,11.6833701371546,5.81250858401276,0.502497266133148
67,11.1888974870914,6.4184475344426,0.426355676075542,11.1888974870914,6.27581482872504,0.439103375827204,11.274563327157,6.49541548982189,0.423887621955483,11.274563327157,6.3276653928548,0.438766255575203,12.9762131932111,6.42473171204694,0.504883927507585,NA,NA,NA,11.1888974870912,6.3484974922051,0.432607412881436,11.1888974870915,6.2157787619632,0.444469057909034
68,11.8253364701699,5.77189603607466,0.511904286982902,11.8253364701699,5.78810773645291,0.510533357671998,12.0223610617936,5.87558794908482,0.511278365465405,12.0223610617936,5.79048021228737,0.518357485478521,13.792758879328,5.9202456669761,0.57077146647948,NA,NA,NA,11.8253364701701,5.74057676230802,0.51455277600017,11.7881043978458,5.62124734635721,0.52314238518413
69,12.3842636552284,6.17425016965115,0.501443901588409,12.3842636552284,6.1426544772576,0.503995179021865,12.49117684189,6.07685703902991,0.51350804524272,12.49117684189,6.00790307579979,0.519028258758461,14.1078894405283,6.10975324342563,0.566926486829852,NA,NA,NA,12.3842636552282,6.08186054679876,0.508904145122005,12.3473080376575,5.86297657220539,0.525161553083136
70,12.1325676385975,6.29133958443563,0.481450277316328,12.1325676385975,6.18715925907013,0.490037109755166,12.4710484704585,6.60229738899143,0.470590030611222,12.4710484704585,6.52246433687304,0.476991501370276,14.2069765701083,6.59089825307207,0.536080163112297,NA,NA,NA,12.1325676385976,6.50031593497489,0.464225864746444,12.1439117839913,6.36564883981752,0.475815622424973
71,11.7568211414504,6.29959770919299,0.464175083264401,11.7568211414504,6.23893436208988,0.469334925910065,12.5570301602981,6.37408373654312,0.492389230958748,12.5570301602981,6.30653089643273,0.497768913833444,14.1425743646907,6.44537727436601,0.544257141015431,NA,NA,NA,11.7848451655103,6.36111098745583,0.460229566182818,11.7848451655105,6.11053337217832,0.481492265162602
72,11.7753072110267,5.81164377926773,0.506455018530168,11.7753072110267,5.9079863078113,0.498273276277758,12.0323460896986,5.84943787238858,0.513857245396511,12.0323460896986,5.91207095424787,0.508651853082131,13.4941900840088,5.99172446291099,0.555977466923974,NA,NA,NA,11.7753072110269,5.88427464213576,0.500286953309763,11.7753072110266,5.75401004852869,0.511349475184773
